nu_inscricao;co_municipio_residencia;sg_uf_residencia;nu_idade;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;co_municipio_nascimento;sg_uf_nascimento;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;in_baixa_visao;in_cegueira;in_surdez;in_deficiencia_auditiva;in_surdo_cegueira;in_deficiencia_fisica;in_deficiencia_mental;in_deficit_atencao;in_dislexia;in_discalculia;in_autismo;in_visao_monocular;in_outra_def;in_gestante;in_lactante;in_idoso;in_estuda_classe_hospitalar;in_sem_recurso;in_braille;in_ampliada_24;in_ampliada_18;in_ledor;in_acesso;in_transcricao;in_libras;in_leitura_labial;in_mesa_cadeira_rodas;in_mesa_cadeira_separada;in_apoio_perna;in_guia_interprete;in_computador;in_cadeira_especial;in_cadeira_canhoto;in_cadeira_acolchoada;in_prova_deitado;in_mobiliario_obeso;in_lamina_overlay;in_protetor_auricular;in_medidor_glicose;in_maquina_braile;in_soroban;in_marca_passo;in_sonda;in_medicamentos;in_sala_individual;in_sala_especial;in_sala_acompanhante;in_mobiliario_especifico;in_material_especifico;in_nome_social;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tp_lingua;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025;q026;q027
170003346081;2107506;MA;31;F;0;3;1;2111300;MA;1;11;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;;;;;;;E;E;B;B;6 ;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;A;A
170003346079;3524808;SP;20;F;0;1;1;3546603;SP;1;3;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;662.60;695.20;652.60;644.40;1;1;160.00;160.00;160.00;160.00;140.00;780.00;E;F;C;B;4 ;F;A;B;C;B;A;B;B;B;B;B;A;A;B;B;A;E;A;B;B;A;E
170003346084;3550308;SP;26;F;1;1;1;3550308;SP;1;8;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;501.70;627.60;547.30;486.30;0;1;140.00;80.00;120.00;140.00;60.00;540.00;E;E;B;B;4 ;L;A;B;C;B;A;B;A;B;A;B;B;A;C;B;A;D;B;A;B;A;A
170003346085;2513703;PB;32;F;0;3;1;2501807;PB;2;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;477.30;389.60;365.50;375.90;1;1;80.00;60.00;80.00;80.00;40.00;340.00;A;H;B;A;2 ;A;A;B;B;A;A;B;A;A;A;A;A;A;B;B;A;B;A;B;B;B;A
170003346082;2303303;CE;22;F;;3;1;2303303;CE;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;496.30;439.90;507.80;434.60;1;1;140.00;120.00;100.00;140.00;100.00;600.00;D;B;A;A;4 ;B;A;B;C;A;A;B;A;A;A;A;A;A;B;B;A;B;A;A;A;B;A
170003346083;3511508;SP;22;F;;1;1;3502200;SP;1;5;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;614.00;547.70;;0;1;140.00;120.00;140.00;120.00;80.00;600.00;F;F;D;D;3 ;G;A;B;C;B;A;B;A;B;A;B;A;A;B;A;A;C;A;B;B;A;A
170005041803;2304400;CE;18;F;0;3;1;2304400;CE;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;546.10;603.60;507.20;564.00;1;1;140.00;120.00;120.00;140.00;120.00;640.00;H;E;F;F;8 ;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A;B;A
170005041801;4303509;RS;19;F;1;1;1;4303509;RS;1;3;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;551.30;563.80;519.00;498.50;1;1;160.00;120.00;160.00;140.00;100.00;680.00;B;B;B;B;1 ;B;A;B;B;A;A;A;A;B;A;A;A;A;B;A;A;B;A;A;B;A;A
170005041802;2103406;MA;18;F;0;3;1;2103406;MA;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;483.00;468.00;477.30;513.70;1;1;100.00;100.00;120.00;120.00;80.00;520.00;H;E;F;B;2 ;A;A;B;B;A;A;A;A;A;A;A;A;A;B;B;A;B;A;A;A;A;A
170003337606;3550308;SP;20;M;0;3;1;3550308;SP;2;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;;;;D;D;C;F;8 ;C;A;D;D;A;B;C;C;B;A;C;A;B;D;A;A;E;B;B;B;B;A
170003337605;2304400;CE;18;F;0;1;1;2305506;CE;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;427.50;487.50;467.30;519.90;1;1;100.00;100.00;80.00;100.00;60.00;440.00;H;D;C;D;2 ;E;A;C;D;A;A;B;A;B;A;B;A;A;B;A;B;C;B;B;B;B;A
170001667976;5201405;GO;21;F;0;2;1;5220207;GO;1;4;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;;;;;;;C;D;B;C;4 ;C;A;C;C;A;B;B;A;B;A;B;A;A;B;B;A;D;A;B;B;A;A
170001664676;2506301;PB;20;F;0;3;1;2506301;PB;3;0;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;430.60;538.80;456.70;403.50;1;1;120.00;100.00;80.00;100.00;60.00;460.00;E;A;B;B;4 ;B;A;B;D;A;A;B;A;A;A;B;A;A;C;B;A;D;A;A;A;C;A
170001664677;1501402;PA;25;F;0;3;1;1501402;PA;1;9;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;;;;B;E;F;B;2 ;D;A;B;B;A;B;B;A;A;A;B;A;A;B;A;A;C;A;A;A;A;A
