o0
Model	Score	Std Dev	Time (ms)
4	RANSACRegressor(base_estimator=None, is_data_v...	2.179124	0	1374
14	(DecisionTreeRegressor(criterion='mse', max_de...	2.187134	0	2458
5	Ridge(alpha=0.1, copy_X=True, fit_intercept=Fa...	2.197253	0	42
6	SGDRegressor(alpha=1e-06, average=False, early...	2.206450	0	775
1	OrthogonalMatchingPursuit(fit_intercept=True, ...	2.213407	0	44
0	LinearRegression(copy_X=True, fit_intercept=Tr...	2.214875	0	86
15	([DecisionTreeRegressor(criterion='friedman_ms...	2.215379	0	2063
12	SVR(C=1.0, cache_size=200, coef0=0.0, degree=3...	2.223008	0	2053
18	(DecisionTreeRegressor(criterion='mse', max_de...	2.276791	0	8112
2	PassiveAggressiveRegressor(C=0.1, average=Fals...	2.312677	0	83
7	DecisionTreeRegressor(criterion='mse', max_dep...	2.459070	0	47
17	(DecisionTreeRegressor(criterion='mse', max_de...	2.505140	0	7921
3	Perceptron(alpha=1e-06, class_weight=None, ear...	4.030839	0	365
10	GaussianNB(priors=None, var_smoothing=0.1)	5.604198	0	319

o8
Model	Score	Std Dev	Time (ms)
13	MLPRegressor(activation='logistic', alpha=0.00...	2.117292	0	24916
16	(ExtraTreeRegressor(criterion='mse', max_depth...	2.123009	0	4623
8	GaussianProcessRegressor(alpha=0.01, copy_X_tr...	2.130854	0	11366
19	XGBRegressor(base_score=0.5, booster='gbtree',...	2.133582	0	1133
11	KNeighborsRegressor(algorithm='auto', leaf_siz...	2.159858	0	324
9	KernelRidge(alpha=1, coef0=1, degree=3, gamma=...	2.164720	0	5416
2	PassiveAggressiveRegressor(C=0.1, average=Fals...	2.167175	0	98
14	(DecisionTreeRegressor(criterion='mse', max_de...	2.185115	0	2429
4	RANSACRegressor(base_estimator=None, is_data_v...	2.196308	0	1335
5	Ridge(alpha=0.1, copy_X=True, fit_intercept=Fa...	2.197794	0	42
1	OrthogonalMatchingPursuit(fit_intercept=True, ...	2.213340	0	91
6	SGDRegressor(alpha=1e-06, average=False, early...	2.214661	0	720
0	LinearRegression(copy_X=True, fit_intercept=Tr...	2.214965	0	42
12	SVR(C=1.0, cache_size=200, coef0=0.0, degree=3...	2.221847	0	2075
15	([DecisionTreeRegressor(criterion='friedman_ms...	2.281439	0	1870
17	(DecisionTreeRegressor(criterion='mse', max_de...	2.317873	0	6934
18	(DecisionTreeRegressor(criterion='mse', max_de...	2.320822	0	8110
7	DecisionTreeRegressor(criterion='mse', max_dep...	2.459975	0	38
3	Perceptron(alpha=1e-06, class_weight=None, ear...	3.520935	0	341
10	GaussianNB(priors=None, var_smoothing=0.1)	5.516210	0	332

o9
Model	Score	Std Dev	Time (ms)
8	GaussianProcessRegressor(alpha=0.01, copy_X_tr...	2.083682	0	11401
13	MLPRegressor(activation='logistic', alpha=0.00...	2.129854	0	26605
14	(DecisionTreeRegressor(criterion='mse', max_de...	2.138565	0	2441
16	(ExtraTreeRegressor(criterion='mse', max_depth...	2.142904	0	4671
19	XGBRegressor(base_score=0.5, booster='gbtree',...	2.156938	0	1363
11	KNeighborsRegressor(algorithm='auto', leaf_siz...	2.157737	0	278
9	KernelRidge(alpha=1, coef0=1, degree=3, gamma=...	2.165375	0	5351
18	(DecisionTreeRegressor(criterion='mse', max_de...	2.206334	0	8289
6	SGDRegressor(alpha=1e-06, average=False, early...	2.209484	0	747
15	([DecisionTreeRegressor(criterion='friedman_ms...	2.212316	0	1929
4	RANSACRegressor(base_estimator=None, is_data_v...	2.219137	0	1244
5	Ridge(alpha=0.1, copy_X=True, fit_intercept=Fa...	2.220873	0	62
12	SVR(C=1.0, cache_size=200, coef0=0.0, degree=3...	2.222930	0	2021
2	PassiveAggressiveRegressor(C=0.1, average=Fals...	2.223063	0	91
1	OrthogonalMatchingPursuit(fit_intercept=True, ...	2.248704	0	39
0	LinearRegression(copy_X=True, fit_intercept=Tr...	2.249563	0	225
17	(DecisionTreeRegressor(criterion='mse', max_de...	2.261422	0	6933
7	DecisionTreeRegressor(criterion='mse', max_dep...	2.440428	0	37
3	Perceptron(alpha=1e-06, class_weight=None, ear...	4.728372	0	351
10	GaussianNB(priors=None, var_smoothing=0.1)	5.130179	0	127

o10
Model	Score	Std Dev	Time (ms)
8	GaussianProcessRegressor(alpha=0.01, copy_X_tr...	2.070362	0	10904
16	(ExtraTreeRegressor(criterion='mse', max_depth...	2.125096	0	4641
19	XGBRegressor(base_score=0.5, booster='gbtree',...	2.143155	0	1130
11	KNeighborsRegressor(algorithm='auto', leaf_siz...	2.143925	0	319
14	(DecisionTreeRegressor(criterion='mse', max_de...	2.144453	0	2446
2	PassiveAggressiveRegressor(C=0.1, average=Fals...	2.164129	0	83
9	KernelRidge(alpha=1, coef0=1, degree=3, gamma=...	2.165394	0	5531
13	MLPRegressor(activation='logistic', alpha=0.00...	2.181508	0	24749
15	([DecisionTreeRegressor(criterion='friedman_ms...	2.183297	0	1933
6	SGDRegressor(alpha=1e-06, average=False, early...	2.210424	0	765
18	(DecisionTreeRegressor(criterion='mse', max_de...	2.212670	0	8244
4	RANSACRegressor(base_estimator=None, is_data_v...	2.221816	0	1218
12	SVR(C=1.0, cache_size=200, coef0=0.0, degree=3...	2.223435	0	2010
5	Ridge(alpha=0.1, copy_X=True, fit_intercept=Fa...	2.226276	0	21
1	OrthogonalMatchingPursuit(fit_intercept=True, ...	2.257201	0	80
0	LinearRegression(copy_X=True, fit_intercept=Tr...	2.259074	0	64
17	(DecisionTreeRegressor(criterion='mse', max_de...	2.265595	0	6856
7	DecisionTreeRegressor(criterion='mse', max_dep...	2.419395	0	51
3	Perceptron(alpha=1e-06, class_weight=None, ear...	3.924082	0	321
10	GaussianNB(priors=None, var_smoothing=0.1)	5.163653	0	318

o11
Model	Score	Std Dev	Time (ms)
8	GaussianProcessRegressor(alpha=0.01, copy_X_tr...	2.042918	0	14850
13	MLPRegressor(activation='logistic', alpha=0.00...	2.046248	0	36684
15	([DecisionTreeRegressor(criterion='friedman_ms...	2.057278	0	1931
14	(DecisionTreeRegressor(criterion='mse', max_de...	2.066394	0	2632
19	XGBRegressor(base_score=0.5, booster='gbtree',...	2.073840	0	1259
16	(ExtraTreeRegressor(criterion='mse', max_depth...	2.083071	0	5726
18	(DecisionTreeRegressor(criterion='mse', max_de...	2.088494	0	8038
17	(DecisionTreeRegressor(criterion='mse', max_de...	2.123855	0	7573
11	KNeighborsRegressor(algorithm='auto', leaf_siz...	2.161937	0	278
9	KernelRidge(alpha=1, coef0=1, degree=3, gamma=...	2.164354	0	7366
5	Ridge(alpha=0.1, copy_X=True, fit_intercept=Fa...	2.167598	0	33
0	LinearRegression(copy_X=True, fit_intercept=Tr...	2.176904	0	45
4	RANSACRegressor(base_estimator=None, is_data_v...	2.190321	0	1370
1	OrthogonalMatchingPursuit(fit_intercept=True, ...	2.190770	0	60
2	PassiveAggressiveRegressor(C=0.1, average=Fals...	2.231913	0	47
6	SGDRegressor(alpha=1e-06, average=False, early...	2.244556	0	627
12	SVR(C=1.0, cache_size=200, coef0=0.0, degree=3...	2.256020	0	2077
7	DecisionTreeRegressor(criterion='mse', max_dep...	2.475348	0	37
3	Perceptron(alpha=1e-06, class_weight=None, ear...	2.988492	0	245
10	GaussianNB(priors=None, var_smoothing=0.1)	3.444983	0	106

